t0_epoch,t0_price,t0_direction,t0_delta_steps,t0_delta_time,t0_speed,t0_up_streak,t0_down_streak,t0_last_digit,t0_delta_change,entry_offset,entry_price,t1,t2,t3,buy_win,sell_win
1774798664,7944.9,UP,1.0,1118,0.000894,3,0,9,-0.0,1,7944.8,7944.7,7944.8,7944.9,1,0
1774798664,7944.9,UP,1.0,1118,0.000894,3,0,9,-0.0,2,7944.7,7944.8,7944.9,7945,1,0
1774798664,7944.9,UP,1.0,1118,0.000894,3,0,9,-0.0,3,7944.8,7944.9,7945,7944.9,1,0
1774798665,7944.8,DOWN,-1.0,813,-0.001230,0,1,8,-2.0,1,7944.7,7944.8,7944.9,7945,1,0
1774798665,7944.8,DOWN,-1.0,813,-0.001230,0,1,8,-2.0,2,7944.8,7944.9,7945,7944.9,1,0
1774798665,7944.8,DOWN,-1.0,813,-0.001230,0,1,8,-2.0,3,7944.9,7945,7944.9,7944.8,0,1
1774798666,7944.7,DOWN,-1.0,1132,-0.000883,0,2,7,-0.0,1,7944.8,7944.9,7945,7944.9,1,0
1774798666,7944.7,DOWN,-1.0,1132,-0.000883,0,2,7,-0.0,2,7944.9,7945,7944.9,7944.8,0,1
1774798666,7944.7,DOWN,-1.0,1132,-0.000883,0,2,7,-0.0,3,7945,7944.9,7944.8,7944.9,0,1
1774798667,7944.8,UP,1.0,935,0.001070,1,0,8,2.0,1,7944.9,7945,7944.9,7944.8,0,1
1774798667,7944.8,UP,1.0,935,0.001070,1,0,8,2.0,2,7945,7944.9,7944.8,7944.9,0,1
1774798667,7944.8,UP,1.0,935,0.001070,1,0,8,2.0,3,7944.9,7944.8,7944.9,7945,1,0
1774798668,7944.9,UP,1.0,1129,0.000886,2,0,9,-0.0,1,7945,7944.9,7944.8,7944.9,0,1
1774798668,7944.9,UP,1.0,1129,0.000886,2,0,9,-0.0,2,7944.9,7944.8,7944.9,7945,1,0
1774798668,7944.9,UP,1.0,1129,0.000886,2,0,9,-0.0,3,7944.8,7944.9,7945,7945.1,1,0
1774798669,7945,UP,1.0,1016,0.000984,3,0,0,0.0,1,7944.9,7944.8,7944.9,7945,1,0
1774798669,7945,UP,1.0,1016,0.000984,3,0,0,0.0,2,7944.8,7944.9,7945,7945.1,1,0
1774798669,7945,UP,1.0,1016,0.000984,3,0,0,0.0,3,7944.9,7945,7945.1,7945,1,0
