t0_epoch,t0_price,t0_direction,t0_delta_steps,t0_delta_time,t0_speed,t0_up_streak,t0_down_streak,t0_last_digit,t0_delta_change,entry_offset,entry_price,t1,t2,t3,buy_win,sell_win
1774822637,7960,UP,1.0,936,0.001068,1,0,0,2.0,1,7959.9,7959.8,7959.7,7959.6,0,1
1774822637,7960,UP,1.0,936,0.001068,1,0,0,2.0,2,7959.8,7959.7,7959.6,7959.5,0,1
1774822637,7960,UP,1.0,936,0.001068,1,0,0,2.0,3,7959.7,7959.6,7959.5,7959.4,0,1
1774822638,7959.9,DOWN,-1.0,1050,-0.000952,0,1,9,-2.0,1,7959.8,7959.7,7959.6,7959.5,0,1
1774822638,7959.9,DOWN,-1.0,1050,-0.000952,0,1,9,-2.0,2,7959.7,7959.6,7959.5,7959.4,0,1
1774822638,7959.9,DOWN,-1.0,1050,-0.000952,0,1,9,-2.0,3,7959.6,7959.5,7959.4,7959.5,0,1
1774822639,7959.8,DOWN,-1.0,946,-0.001057,0,2,8,0.0,1,7959.7,7959.6,7959.5,7959.4,0,1
1774822639,7959.8,DOWN,-1.0,946,-0.001057,0,2,8,0.0,2,7959.6,7959.5,7959.4,7959.5,0,1
1774822639,7959.8,DOWN,-1.0,946,-0.001057,0,2,8,0.0,3,7959.5,7959.4,7959.5,7959.4,0,1
1774822640,7959.7,DOWN,-1.0,1066,-0.000938,0,3,7,-0.0,1,7959.6,7959.5,7959.4,7959.5,0,1
1774822640,7959.7,DOWN,-1.0,1066,-0.000938,0,3,7,-0.0,2,7959.5,7959.4,7959.5,7959.4,0,1
1774822640,7959.7,DOWN,-1.0,1066,-0.000938,0,3,7,-0.0,3,7959.4,7959.5,7959.4,7959.3,0,1
1774822641,7959.6,DOWN,-1.0,917,-0.001091,0,4,6,0.0,1,7959.5,7959.4,7959.5,7959.4,0,1
1774822641,7959.6,DOWN,-1.0,917,-0.001091,0,4,6,0.0,2,7959.4,7959.5,7959.4,7959.3,0,1
1774822641,7959.6,DOWN,-1.0,917,-0.001091,0,4,6,0.0,3,7959.5,7959.4,7959.3,7959.4,0,1
1774822642,7959.5,DOWN,-1.0,1083,-0.000923,0,5,5,-0.0,1,7959.4,7959.5,7959.4,7959.3,0,1
1774822642,7959.5,DOWN,-1.0,1083,-0.000923,0,5,5,-0.0,2,7959.5,7959.4,7959.3,7959.4,0,1
1774822642,7959.5,DOWN,-1.0,1083,-0.000923,0,5,5,-0.0,3,7959.4,7959.3,7959.4,7959.3,0,1
1774822643,7959.4,DOWN,-1.0,970,-0.001031,0,6,4,0.0,1,7959.5,7959.4,7959.3,7959.4,0,1
1774822643,7959.4,DOWN,-1.0,970,-0.001031,0,6,4,0.0,2,7959.4,7959.3,7959.4,7959.3,0,1
1774822643,7959.4,DOWN,-1.0,970,-0.001031,0,6,4,0.0,3,7959.3,7959.4,7959.3,7959.2,0,1
1774822644,7959.5,UP,1.0,1028,0.000973,1,0,5,2.0,1,7959.4,7959.3,7959.4,7959.3,0,1
1774822644,7959.5,UP,1.0,1028,0.000973,1,0,5,2.0,2,7959.3,7959.4,7959.3,7959.2,0,1
1774822644,7959.5,UP,1.0,1028,0.000973,1,0,5,2.0,3,7959.4,7959.3,7959.2,7959.1,0,1
1774822645,7959.4,DOWN,-1.0,935,-0.001070,0,1,4,-2.0,1,7959.3,7959.4,7959.3,7959.2,0,1
1774822645,7959.4,DOWN,-1.0,935,-0.001070,0,1,4,-2.0,2,7959.4,7959.3,7959.2,7959.1,0,1
1774822645,7959.4,DOWN,-1.0,935,-0.001070,0,1,4,-2.0,3,7959.3,7959.2,7959.1,7959.2,0,1
1774822646,7959.3,DOWN,-1.0,1049,-0.000953,0,2,3,0.0,1,7959.4,7959.3,7959.2,7959.1,0,1
1774822646,7959.3,DOWN,-1.0,1049,-0.000953,0,2,3,0.0,2,7959.3,7959.2,7959.1,7959.2,0,1
1774822646,7959.3,DOWN,-1.0,1049,-0.000953,0,2,3,0.0,3,7959.2,7959.1,7959.2,7959.1,0,1
1774822647,7959.4,UP,1.0,966,0.001035,1,0,4,2.0,1,7959.3,7959.2,7959.1,7959.2,0,1
1774822647,7959.4,UP,1.0,966,0.001035,1,0,4,2.0,2,7959.2,7959.1,7959.2,7959.1,0,1
1774822647,7959.4,UP,1.0,966,0.001035,1,0,4,2.0,3,7959.1,7959.2,7959.1,7959.2,1,0
1774822648,7959.3,DOWN,-1.0,1032,-0.000969,0,1,3,-2.0,1,7959.2,7959.1,7959.2,7959.1,0,1
1774822648,7959.3,DOWN,-1.0,1032,-0.000969,0,1,3,-2.0,2,7959.1,7959.2,7959.1,7959.2,1,0
1774822648,7959.3,DOWN,-1.0,1032,-0.000969,0,1,3,-2.0,3,7959.2,7959.1,7959.2,7959.3,1,0
1774822649,7959.2,DOWN,-1.0,937,-0.001067,0,2,2,-0.0,1,7959.1,7959.2,7959.1,7959.2,1,0
1774822649,7959.2,DOWN,-1.0,937,-0.001067,0,2,2,-0.0,2,7959.2,7959.1,7959.2,7959.3,1,0
1774822649,7959.2,DOWN,-1.0,937,-0.001067,0,2,2,-0.0,3,7959.1,7959.2,7959.3,7959.2,1,0
1774822650,7959.1,DOWN,-1.0,1082,-0.000924,0,3,1,0.0,1,7959.2,7959.1,7959.2,7959.3,1,0
1774822650,7959.1,DOWN,-1.0,1082,-0.000924,0,3,1,0.0,2,7959.1,7959.2,7959.3,7959.2,1,0
1774822650,7959.1,DOWN,-1.0,1082,-0.000924,0,3,1,0.0,3,7959.2,7959.3,7959.2,7959.3,1,0
1774822651,7959.2,UP,1.0,947,0.001056,1,0,2,2.0,1,7959.1,7959.2,7959.3,7959.2,1,0
1774822651,7959.2,UP,1.0,947,0.001056,1,0,2,2.0,2,7959.2,7959.3,7959.2,7959.3,1,0
